Job ID,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines,Due Time
1,1.5,3.1,"1,2,3,4,5","2,3,4,5",4
2,7.5,4.9,"1,2,3,4,5","2,3,4,5",8
3,5.5,3.0,"1,2,3,4,5","2,3,4,5",8
4,8.0,0,"1,2,3,4,5",N/A,8
5,7.0,8.4,"1,2,3,4,5","2,3,4,5",4
6,6.8,8.9,"1,2,3,4,5","2,3,4,5",4
7,8.9,0,"1,2,3,4,5",N/A,8
8,1.5,0,"1,2,3,4,5",N/A,8
9,1.3,0,"1,2,3,4,5",N/A,4
10,9.6,9.6,"1,2,3,4,5","2,3,4,5",8
11,6.4,3.5,"1,2,3,4,5","2,3,4,5",8
12,1.6,8.7,"1,2,3,4,5","2,3,4,5",8
13,1.8,2.8,"1,2,3,4,5","2,3,4,5",8
14,8.4,3.6,"1,2,3,4,5","2,3,4,5",8
15,7.7,3.6,"1,2,3,4,5","2,3,4,5",8
16,4.8,6.0,"1,2,3,4,5","2,3,4,5",8
17,4.3,5.1,"1,2,3,4,5","2,3,4,5",8
18,8.0,1.6,"1,2,3,4,5","2,3,4,5",4
19,1.0,0,"1,2,3,4,5",N/A,8
20,6.2,5.2,"1,2,3,4,5","2,3,4,5",4
21,1.8,0,"1,2,3,4,5",N/A,4
22,2.8,0,"1,2,3,4,5",N/A,4
23,1.7,6.4,"1,2,3,4,5","2,3,4,5",8
24,1.5,5.1,"1,2,3,4,5","2,3,4,5",4
25,2.0,8.3,"1,2,3,4,5","2,3,4,5",4
